url,category,language
https://chatwork.com,saas,ja
https://ikyu.com,other,ja
https://zenn.dev,social,ja
https://kumamoto-u.ac.jp,education,ja
https://coconala.com,social,ja
https://aucfan.com,ecommerce,ja
https://dengekionline.com,news,ja
https://askul.co.jp,other,ja
https://bandainamcoent.com,entertainment,ja
https://lancers.jp,other,ja
https://mazda.co.jp,corporate,ja
https://bengo4.com,other,ja
https://fujifilm.co.jp,corporate,ja
https://daihatsu.co.jp,corporate,ja
https://nojima.co.jp,other,ja
https://courts.go.jp,government,ja
https://cybozu.com,saas,ja
https://bridgestone.com,corporate,ja
https://connpass.com,social,ja
https://denso.com,corporate,ja
https://meiji.ac.jp,education,ja
https://chintai.net,other,ja
https://chiba-u.ac.jp,education,ja
https://edion.com,other,ja
https://kagoshima-u.ac.jp,education,ja
https://ehime-u.ac.jp,education,ja
https://nec.co.jp,corporate,ja
https://fdma.go.jp,government,ja
https://niigata-u.ac.jp,education,ja
https://jibunbank.co.jp,finance,ja
https://hosei.ac.jp,education,ja
https://ksdenki.com,other,ja
https://kanazawa-u.ac.jp,education,ja
https://orix.co.jp,finance,ja
https://doshisha.ac.jp,education,ja
https://chuo-u.ac.jp,education,ja
https://sophia.ac.jp,education,ja
https://sansan.com,saas,ja
https://yamaguchi-u.ac.jp,education,ja
https://yamaha.co.jp,corporate,ja
https://yamada-denki.jp,other,ja
https://tokushima-u.ac.jp,education,ja
https://kojima.net,other,ja
https://tottori-u.ac.jp,education,ja
https://dai-ichi-life.co.jp,finance,ja
https://benesse.jp,education,ja
https://cyberagent.co.jp,corporate,ja
https://isuzu.co.jp,corporate,ja
https://saga-u.ac.jp,education,ja
https://subaru.co.jp,corporate,ja
https://otsuka-shokai.co.jp,other,ja
https://dena.com,corporate,ja
https://kubota.co.jp,corporate,ja
https://promise.co.jp,finance,ja
https://shimane-u.ac.jp,education,ja
https://acom.co.jp,finance,ja
https://lnews.jp,other,ja
https://nikon.co.jp,corporate,ja
https://rurubu.com,other,ja
https://zeiri4.com,other,ja
https://fujitsu.co.jp,corporate,ja
https://epson.co.jp,corporate,ja
https://sumai-surfin.com,other,ja
https://response.jp,news,ja
https://otonanswer.jp,news,ja
https://jasso.go.jp,government,ja
https://jnto.go.jp,government,ja
https://nenkin.go.jp,government,ja
https://jpf.go.jp,government,ja
https://boj.or.jp,finance,ja
https://kyoukaikenpo.or.jp,finance,ja
https://waseda.ac.jp,education,ja
https://kindai.ac.jp,education,ja
https://expo2025.or.jp,other,ja
https://jaf.or.jp,other,ja
https://jartic.or.jp,other,ja
https://shogi.or.jp,other,ja
https://med.or.jp,other,ja
https://matsuyafoods.co.jp,ecommerce,ja
https://universal-music.co.jp,ecommerce,ja
https://sonymusic.co.jp,ecommerce,ja
https://4travel.jp,other,ja
https://princehotels.co.jp,other,ja
https://atwiki.jp,other,ja
